Ano,Mês,Dt.Lanç,Emissão,Venc,Tipo,Contrato,Referente,Doc,Estab,Status,Valor R$
2020,fev,2020-02-03,2020-02-03,2020-02-20,CONTRATO,ALLE TECNOLOGIA,Gestão de ERP Totvs 12,1868,I7 NÚCLEO,LANÇADO,1000.0
2020,fev,2020-02-03,2020-02-03,2020-02-12,CONTRATO,VALIDEINFO WEB,Serviços Consulta Web,864,I7 NÚCLEO,LANÇADO,150.0
2020,fev,2020-02-11,2020-02-03,2020-03-20,CONTRATO,ALGAR TELECOM - I7,Internet,297,I7 NÚCLEO,LANÇADO,3071.55
2020,fev,2020-02-04,2020-02-04,2020-02-24,CONTRATO,CONTI CONSULTORIA,Consultoria em Sistemas - DP,154,I7 NÚCLEO,LANÇADO,1789.33
2020,fev,2020-02-19,2020-02-04,2020-03-05,CONTRATO,GRENKE - EQUIPLEX 2,Fatura 2,14969,EQUIPLEX,LANÇADO,1926.94
2020,fev,2020-02-07,2020-02-05,2020-03-05,CONTRATO,ACTTIVE - DOCNIX,Licença de Uso,5485,EQUIPLEX,LANÇADO,3293.55
2020,fev,2020-02-06,2020-02-06,2020-02-15,CONTRATO,CLARO CELULAR,Celular - Equiplex,13090929,EQUIPLEX,LANÇADO,385.4
2020,fev,2020-02-06,2020-02-06,2020-02-15,CONTRATO,CLARO CELULAR,Celular - Equiplex,948665669,EQUIPLEX,LANÇADO,3311.25
2020,fev,2020-02-12,2020-02-10,2020-02-25,CONTRATO,BELLFONE - 2,Serviços de telefonia,2566,EQUIPLEX,LANÇADO,3296.37
2020,fev,2020-02-12,2020-02-12,2020-02-25,CONTRATO,BELLFONE - 1,Serviços de telefonia,2567,EQUIPLEX,LANÇADO,1269.0
2020,fev,2020-02-17,2020-02-17,2020-02-17,CONTRATO,VALCANAIA,Consultoria Financeira,125,I7 NÚCLEO,LANÇADO,6984.0
2020,fev,2020-02-18,2020-02-18,2020-03-12,CONTRATO,VIRTOS BACKUP,Backup na Nuvem,12637,EQUIPLEX,LANÇADO,780.0
2020,fev,2020-02-21,2020-02-21,2020-03-12,CONTRATO,DIGITAL WORLD,Loc.Impressoras e serviços,356,I7 NÚCLEO,LANÇADO,2431.92
2020,fev,2020-02-21,2020-02-21,2020-02-21,CONTRATO,BELLFONE - 1,Serviços de telefonia,166287,EQUIPLEX,LANÇADO,1969.8
2020,fev,2020-02-26,2020-02-26,2020-03-10,CONTRATO,LOCAWEB,Hospedagem - tx anual,33530456,EQUIPLEX,LANÇADO,436.08
2020,fev,2020-02-27,2020-02-27,2020-03-06,CONTRATO,CARLOS DIAS (MGC),Consultoria Servidores,1113,I7 NÚCLEO,LANÇADO,8520.0
2020,mar,2020-03-06,2020-03-01,2020-03-14,CONTRATO,OI - TELECOM GERAL - DDR,OI - DDR,211354,EQUIPLEX,LANÇADO,1276.69
2020,mar,2020-03-06,2020-03-01,2020-03-14,CONTRATO,OI - TELECOM GERAL - 0800,OI - 0800,173590,EQUIPLEX,LANÇADO,378.44
2020,mar,2020-03-05,2020-03-05,2020-03-15,CONTRATO,CLARO CELULAR,Celular - Equiplex,13899946,EQUIPLEX,LANÇADO,385.4
2020,mar,2020-03-05,2020-03-05,2020-03-15,CONTRATO,CLARO CELULAR,Celular - Equiplex,948665669,EQUIPLEX,LANÇADO,5249.79
2020,ago,2020-08-21,2020-08-21,2020-08-25,CONTRATO,TSPLUS BRASIL 1,Link Radio - Acesso Internet,109227,I7 NÚCLEO,LANÇADO,230.0
2020,set,2020-09-21,2020-09-21,2020-09-24,CONTRATO,TSPLUS BRASIL 1,Link Radio - Acesso Internet,110311,I7 NÚCLEO,LANÇADO,2210.0
2020,out,2020-10-21,2020-10-21,2020-10-23,CONTRATO,TSPLUS BRASIL 1,Link Radio - Acesso Internet,110852,I7 NÚCLEO,LANÇADO,2546.0
2020,nov,2020-11-21,2020-11-21,2020-11-25,CONTRATO,TSPLUS BRASIL 1,Link Radio - Acesso Internet,133882,I7 NÚCLEO,LANÇADO,2546.0
2020,dez,2020-12-21,2020-12-21,2020-12-22,CONTRATO,TSPLUS BRASIL 1,Link Radio - Acesso Internet,133883,I7 NÚCLEO,LANÇADO,2546.0
2021,jan,2021-01-25,2021-01-25,2021-01-22,CONTRATO,TSPLUS BRASIL 1,Link Radio - Acesso Internet,134957,I7 NÚCLEO,LANÇADO,2546.0
2021,fev,2021-02-21,2021-02-21,2021-02-23,CONTRATO,TSPLUS BRASIL 1,Link Radio - Acesso Internet,134958,I7 NÚCLEO,LANÇADO,2546.0
2021,mar,2021-03-19,2021-03-19,2021-04-19,CONTRATO,NEOMIND - P3916/18,Licença de Uso Fusion,12702,I7 NÚCLEO,LANÇADO,2094.08
2021,mar,2021-03-21,2021-03-21,2021-03-20,CONTRATO,TSPLUS BRASIL 1,Link Radio - Acesso Internet,135733,I7 NÚCLEO,LANÇADO,3125.0
2021,mar,2021-04-07,2021-03-24,2021-04-15,CONTRATO,CLARO CELULAR,Celular - Equiplex,948665669,EQUIPLEX,LANÇADO,2687.25
2021,abr,2021-04-01,2021-04-01,2021-04-10,CONTRATO,C&C COMPUTER CLOUD,Computação na Nuvem,4862,I7 NÚCLEO,LANÇADO,42500.0
2021,abr,2021-04-01,2021-04-01,2021-04-15,CONTRATO,HPFS - LOCAÇÃO DESKTOP,Locação de Desktops,15042021,I7 NÚCLEO,LANÇADO,15045.05
2021,abr,2021-04-15,2021-04-01,2021-05-05,CONTRATO,GRENKE - EQUIPLEX 1,Fatura 1,30128,EQUIPLEX,LANÇADO,1156.0
2021,abr,2021-04-15,2021-04-01,2021-05-05,CONTRATO,GRENKE - EQUIPLEX 2,Fatura 2,30414,EQUIPLEX,LANÇADO,1926.94
2021,abr,2021-04-15,2021-04-01,2021-05-05,CONTRATO,GRENKE - I7,Nota I7,31664,I7 NÚCLEO,LANÇADO,843.78
2021,abr,2021-04-01,2021-04-01,2021-04-10,CONTRATO,ILOC3 LOCAÇÕES - EQUIPLEX,NF 2 - Equiplex,33,EQUIPLEX,LANÇADO,2886.29
2021,abr,2021-04-01,2021-04-01,2021-04-20,CONTRATO,ALLE TECNOLOGIA,Gestão de ERP Totvs 12,2474,I7 NÚCLEO,LANÇADO,800.0
2021,abr,2021-04-01,2021-04-01,2021-04-20,CONTRATO,APN ,Link Radio,131,I7 NÚCLEO,LANÇADO,334.95
2021,abr,2021-04-05,2021-04-01,2021-05-12,CONTRATO,VIRTOS BACKUP,Backup na Nuvem,16163,EQUIPLEX,LANÇADO,390.0
2021,abr,2021-04-07,2021-04-01,2021-04-15,CONTRATO,OI - TELECOM GERAL - DDR,OI - DDR,1880819,EQUIPLEX,LANÇADO,1275.13
2021,abr,2021-04-07,2021-04-01,2021-04-15,CONTRATO,OI - TELECOM GERAL - 0800,OI - 0800,2275191,EQUIPLEX,LANÇADO,304.76
2021,abr,2021-04-01,2021-04-01,2021-04-10,CONTRATO,ILOC3 LOCAÇÕES - I7,NF 1 - I7,34,I7 NÚCLEO,LANÇADO,2943.9
2021,abr,2021-04-06,2021-04-03,2021-04-20,CONTRATO,ALGAR - TRANSPLEX,Internet,74895,TRANSPLEX,LANÇADO,1494.5
2021,abr,2021-04-14,2021-04-03,2021-05-20,CONTRATO,ALGAR TELECOM - I7,Internet,14152,I7 NÚCLEO,LANÇADO,3887.33
2021,abr,2021-04-05,2021-04-05,2021-04-15,CONTRATO,GLOBO SOLUÇÕES - ALOS,Crachás para o DP,5960,ALOS,LANÇADO,350.0
2021,abr,2021-04-14,2021-04-05,2021-04-22,CONTRATO,TOTVS 01 - A42305/05,TOTVS 1 - A42305/05,797614,EQUIPLEX,LANÇADO,2629.6
2021,abr,2021-04-05,2021-04-05,2021-04-14,CONTRATO,VALCANAIA,Consultoria Financeira,168,I7 NÚCLEO,LANÇADO,1024.8
2021,abr,2021-04-05,2021-04-05,2021-04-12,CONTRATO,VALIDEINFO WEB,Serviços Consulta Web,1457,I7 NÚCLEO,LANÇADO,150.0
2021,abr,2021-04-06,2021-04-06,2021-04-20,CONTRATO,AMPLISTORE - AMPLIDRIVE,Amplidrive,1131,I7 NÚCLEO,LANÇADO,990.0
2021,abr,2021-04-07,2021-04-06,2021-04-20,CONTRATO,CLARO NET - HT3,Internet HT3,1397086,I7 NÚCLEO,LANÇADO,155.0
2021,abr,2021-04-08,2021-04-06,2021-05-05,CONTRATO,ACTTIVE - DOCNIX,Licença de Uso,7499,EQUIPLEX,LANÇADO,2799.52
2021,abr,2021-04-08,2021-04-07,2021-04-17,CONTRATO,CONTI CONSULTORIA,Consultoria em Sistemas - DP,469,I7 NÚCLEO,LANÇADO,6765.04
2021,abr,2021-04-09,2021-04-09,2021-04-20,CONTRATO,INFOMACH FIREWALL,Locação e Suporte SonicWall,7862,I7 NÚCLEO,LANÇADO,1900.0
2021,abr,2021-04-12,2021-04-09,2021-04-25,CONTRATO,BELLFONE - 2,Serviços de telefonia,3154,EQUIPLEX,LANÇADO,1403.83
2021,abr,2021-04-12,2021-04-09,2021-04-25,CONTRATO,BELLFONE - 1,Serviços de telefonia,3153,EQUIPLEX,LANÇADO,3344.5
2021,abr,2021-04-12,2021-04-12,2021-04-30,CONTRATO,SANTODIGITAL 2,Suporte G Suite - Tx Manutenção,88527,I7 NÚCLEO,LANÇADO,150.0
2021,abr,2021-04-12,2021-04-12,2021-04-30,CONTRATO,SANTODIGITAL 1,G Suite Business - Licenca,88456,I7 NÚCLEO,LANÇADO,6688.0
2021,abr,2021-04-14,2021-04-13,2021-04-30,CONTRATO,TOTVS 00 - TICKETS,TICKETS,803680,EQUIPLEX,LANÇADO,1642.74
2021,abr,2021-04-14,2021-04-13,2021-05-12,CONTRATO,TOTVS 02 - 400003/01,TOTVS 2 - 400003/01,800013,EQUIPLEX,LANÇADO,1278.0
2021,abr,2021-04-14,2021-04-13,2021-05-12,CONTRATO,TOTVS 03 - 365084/01 - 400003/01,TOTVS3 - 365084/01 - 400003/01,800014,EQUIPLEX,LANÇADO,8321.23
2021,abr,2021-04-14,2021-04-13,2021-05-20,CONTRATO,TOTVS 05 - A48004/04,TOTVS5 - A48004/04,800015,EQUIPLEX,LANÇADO,3648.3
2021,abr,2021-04-14,2021-04-13,2021-05-23,CONTRATO,TOTVS 04 - 943448/02,TOTVS4 - 943448/02,800012,EQUIPLEX,LANÇADO,3123.08
2021,abr,2021-04-14,2021-04-13,2021-05-03,CONTRATO,DIGITAL WORLD,Loc.Impressoras e serviços,6069,I7 NÚCLEO,LANÇADO,2058.52
2021,abr,2021-04-13,2021-04-13,2021-04-21,CONTRATO,TSPLUS BRASIL 1,Link Radio - Acesso Internet,1209,I7 NÚCLEO,LANÇADO,3125.0
2021,abr,2021-04-29,2021-04-21,2021-05-20,CONTRATO,SUPERI - G8NET - I7,Serviços de Internet,5779,I7 NÚCLEO,LANÇADO,1700.0
2021,abr,2021-04-22,2021-04-22,2021-05-01,CONTRATO,LUCAS BICALHO,PJ - Lucas Bicalho,62,I7 NÚCLEO,LANÇADO,6751.48
2021,abr,2021-04-29,2021-04-29,2021-05-27,CONTRATO,INGRAM - OFFICE 365,Office 365 Licença,1405994,EQUIPLEX,LANÇADO,2439.72
2021,mai,2021-05-01,2021-05-01,2021-05-15,CONTRATO,HPFS - LOCAÇÃO DESKTOP,Locação de Desktops,15052021,I7 NÚCLEO,LANÇADO,15045.05
2021,mai,2021-05-05,2021-05-01,2021-05-14,CONTRATO,OI - TELECOM GERAL - 0800,OI - 0800,2143568,EQUIPLEX,LANÇADO,276.28
2021,mai,2021-05-05,2021-05-01,2021-05-14,CONTRATO,OI - TELECOM GERAL - DDR,OI - DDR,2167330,EQUIPLEX,LANÇADO,1275.13
2021,mai,2021-05-03,2021-05-01,2021-05-10,CONTRATO,C&C COMPUTER CLOUD,Computação na Nuvem,4902,I7 NÚCLEO,LANÇADO,42500.0
2021,mai,2021-05-03,2021-05-02,2021-05-10,CONTRATO,ILOC3 LOCAÇÕES - EQUIPLEX,NF 2 - Equiplex,35,EQUIPLEX,LANÇADO,2597.66
2021,mai,2021-05-03,2021-05-02,2021-05-10,CONTRATO,ILOC3 LOCAÇÕES - I7,NF 1 - I7,36,I7 NÚCLEO,LANÇADO,2649.51
2021,mai,2021-05-03,2021-05-03,2021-05-20,CONTRATO,AMPLISTORE - AMPLIDRIVE,Amplidrive,1179,I7 NÚCLEO,LANÇADO,990.0
2021,mai,2021-05-07,2021-05-03,2021-06-21,CONTRATO,ALGAR TELECOM - I7,Internet,14623,I7 NÚCLEO,LANÇADO,3890.27
2021,mai,2021-05-07,2021-05-03,2021-05-20,CONTRATO,ALGAR - TRANSPLEX,Internet,80703,TRANSPLEX,LANÇADO,1458.99
2021,mai,2021-05-03,2021-05-03,2021-05-20,CONTRATO,ALLE TECNOLOGIA,Gestão de ERP Totvs 12,2515,I7 NÚCLEO,LANÇADO,800.0
2021,mai,2021-05-04,2021-05-03,2021-05-20,CONTRATO,APN ,Link Radio,149,I7 NÚCLEO,LANÇADO,334.95
2021,mai,2021-05-04,2021-05-03,2021-06-12,CONTRATO,VIRTOS BACKUP,Backup na Nuvem,16456,EQUIPLEX,LANÇADO,390.0
2021,mai,2021-05-05,2021-05-04,2021-05-22,CONTRATO,TOTVS 01 - A42305/05,TOTVS 1 - A42305/05,804306,EQUIPLEX,LANÇADO,2629.6
2021,mai,2021-05-04,2021-05-04,2021-05-14,CONTRATO,HPFS - LOCAÇÃO NOTEBOOKS,Locação de Notebooks,14052021,I7 NÚCLEO,LANÇADO,1857.27
2021,mai,2021-05-04,2021-05-04,2021-06-01,CONTRATO,INGRAM - OFFICE 365,Office 365 Licença,1409099,EQUIPLEX,LANÇADO,2736.18
2021,mai,2021-05-04,2021-05-04,2021-05-13,CONTRATO,VALCANAIA,Consultoria Financeira,170,I7 NÚCLEO,LANÇADO,1624.0
2021,mai,2021-05-05,2021-05-05,2021-05-12,CONTRATO,VALIDEINFO WEB,Serviços Consulta Web,1502,I7 NÚCLEO,LANÇADO,150.0
2021,mai,2021-05-07,2021-05-05,2021-06-05,CONTRATO,ACTTIVE - DOCNIX,Licença de Uso,7625,EQUIPLEX,LANÇADO,2799.52
2021,mai,2021-05-05,2021-05-05,2021-05-15,CONTRATO,CLARO CELULAR,Celular - Equiplex,948665669,EQUIPLEX,LANÇADO,4380.5
2021,mai,2021-05-07,2021-05-06,2021-05-20,CONTRATO,CLARO NET - HT3,Internet HT3,1594754,I7 NÚCLEO,LANÇADO,155.0
2021,mai,2021-05-07,2021-05-06,2021-05-15,CONTRATO,GLOBO SOLUÇÕES - ALOS,Crachás para o DP,6153,ALOS,LANÇADO,350.0
2021,mai,2021-05-10,2021-05-07,2021-05-16,CONTRATO,CONTI CONSULTORIA,Consultoria em Sistemas - DP,605,I7 NÚCLEO,LANÇADO,3109.29
2021,mai,2021-05-10,2021-05-09,2021-05-20,CONTRATO,INFOMACH FIREWALL,Locação e Suporte SonicWall,8083,I7 NÚCLEO,LANÇADO,1900.0
2021,mai,2021-05-11,2021-05-10,2021-06-07,CONTRATO,INGRAM - OFFICE 365,Office 365 Licença,1411698,EQUIPLEX,LANÇADO,2335.5
2021,mai,2021-05-11,2021-05-10,2021-05-25,CONTRATO,BELLFONE - 2,Serviços de telefonia,3191,EQUIPLEX,LANÇADO,1403.83
2021,mai,2021-05-11,2021-05-10,2021-05-25,CONTRATO,BELLFONE - 1,Serviços de telefonia,3190,EQUIPLEX,LANÇADO,4180.63
2021,mai,2021-05-11,2021-05-11,2021-06-05,CONTRATO,GRENKE - EQUIPLEX 1,Fatura 1,36408,EQUIPLEX,LANÇADO,1156.0
2021,mai,2021-05-12,2021-05-11,2021-05-31,CONTRATO,SANTODIGITAL 2,Suporte G Suite - Tx Manutenção,90176,I7 NÚCLEO,LANÇADO,150.0
2021,mai,2021-05-12,2021-05-11,2021-06-07,CONTRATO,SETI - I7,"S4 Internet Controlada, Servidor Proxy",31017,I7 NÚCLEO,LANÇADO,490.0
2021,mai,2021-05-11,2021-05-11,2021-06-05,CONTRATO,GRENKE - EQUIPLEX 2,Fatura 2,36711,EQUIPLEX,LANÇADO,1926.94
2021,mai,2021-05-12,2021-05-11,2021-05-31,CONTRATO,SANTODIGITAL 1,G Suite Business - Licenca,90141,I7 NÚCLEO,LANÇADO,6688.0
2021,mai,2021-05-12,2021-05-12,2021-06-05,CONTRATO,GRENKE - I7,Nota I7,35208,I7 NÚCLEO,LANÇADO,843.78
2021,mai,2021-05-17,2021-05-13,2021-06-12,CONTRATO,TOTVS 03 - 365084/01 - 400003/01,TOTVS3 - 365084/01 - 400003/01,807153,EQUIPLEX,LANÇADO,8321.23
2021,mai,2021-05-17,2021-05-13,2021-06-12,CONTRATO,TOTVS 02 - 400003/01,TOTVS 2 - 400003/01,807145,EQUIPLEX,LANÇADO,1278.0
2021,mai,2021-05-17,2021-05-13,2021-06-20,CONTRATO,TOTVS 05 - A48004/04,TOTVS5 - A48004/04,807188,EQUIPLEX,LANÇADO,3648.3
2021,mai,2021-05-17,2021-05-13,2021-06-23,CONTRATO,TOTVS 04 - 943448/02,TOTVS4 - 943448/02,807129,EQUIPLEX,LANÇADO,3123.08
2021,mai,2021-05-13,2021-05-13,2021-05-21,CONTRATO,TSPLUS BRASIL 1,Link Radio - Acesso Internet,1386,I7 NÚCLEO,LANÇADO,3125.0
2021,mai,2021-05-17,2021-05-14,2021-05-31,CONTRATO,TOTVS 00 - TICKETS,TICKETS,810572,EQUIPLEX,LANÇADO,844.74
2021,mai,2021-05-17,2021-05-14,2021-06-03,CONTRATO,DIGITAL WORLD,Loc.Impressoras e serviços,6481,I7 NÚCLEO,LANÇADO,3195.92
2021,mai,2021-05-19,2021-05-18,2021-06-14,CONTRATO,TOTVS 00 - TICKETS,TICKETS,810793,EQUIPLEX,LANÇADO,3074.0
2021,mai,2021-05-19,2021-05-18,2021-06-14,CONTRATO,TOTVS 00 - TICKETS,TICKETS,810799,EQUIPLEX,LANÇADO,110.0
2021,mai,2021-05-19,2021-05-19,2021-06-20,CONTRATO,SUPERI - G8NET - I7,Serviços de Internet,5981,I7 NÚCLEO,LANÇADO,1700.0
2021,mai,2021-05-20,2021-05-20,2021-06-21,CONTRATO,NEOMIND - P3916/18,Licença de Uso Fusion,13077,I7 NÚCLEO,LANÇADO,2094.08
2021,mai,2021-05-21,2021-05-21,2021-06-14,CONTRATO,TOTVS 00 - TICKETS,TICKETS,810825,EQUIPLEX,LANÇADO,1403.89
2021,mai,2021-05-21,2021-05-21,2021-06-10,CONTRATO,LUCAS BICALHO,PJ - Lucas Bicalho,63,I7 NÚCLEO,LANÇADO,6962.27
2021,mai,2021-05-21,2021-05-21,2021-06-04,CONTRATO,LUIZA VIEIRA BORGES ALVES,PJ - Luiza Vieira B Alves,20,I7 NÚCLEO,LANÇADO,6750.0
2021,jun,2021-06-02,2021-06-01,2021-06-21,CONTRATO,AMPLISTORE - AMPLIDRIVE,Amplidrive,1231,I7 NÚCLEO,LANÇADO,1140.0
2021,jun,2021-06-07,2021-06-01,2021-06-22,CONTRATO,TOTVS 01 - A42305/05,TOTVS 1 - A42305/05,811374,EQUIPLEX,LANÇADO,2629.6
2021,jun,2021-06-02,2021-06-01,2021-06-20,CONTRATO,ALLE TECNOLOGIA,Gestão de ERP Totvs 12,2569,I7 NÚCLEO,LANÇADO,800.0
2021,jun,2021-06-02,2021-06-01,2021-06-20,CONTRATO,APN ,Link Radio,139,I7 NÚCLEO,LANÇADO,334.95
2021,jun,2021-06-14,2021-06-01,2021-07-05,CONTRATO,GRENKE - EQUIPLEX 2,Fatura 2,42970,EQUIPLEX,LANÇADO,1926.94
2021,jun,2021-06-14,2021-06-01,2021-07-05,CONTRATO,GRENKE - EQUIPLEX 1,Fatura 1,42246,EQUIPLEX,LANÇADO,1156.0
2021,jun,2021-06-02,2021-06-01,2021-06-15,CONTRATO,GLOBO SOLUÇÕES - ALOS,Crachás para o DP,6359,ALOS,LANÇADO,350.0
2021,jun,2021-06-02,2021-06-01,2021-06-10,CONTRATO,ILOC3 LOCAÇÕES - EQUIPLEX,NF 2 - Equiplex,38,EQUIPLEX,LANÇADO,2597.66
2021,jun,2021-06-07,2021-06-01,2021-06-14,CONTRATO,OI - TELECOM GERAL - DDR,OI - DDR,2392479,EQUIPLEX,LANÇADO,1275.13
2021,jun,2021-06-07,2021-06-01,2021-06-14,CONTRATO,OI - TELECOM GERAL - 0800,OI - 0800,2369392,EQUIPLEX,LANÇADO,281.23
2021,jun,2021-06-02,2021-06-01,2021-06-10,CONTRATO,ILOC3 LOCAÇÕES - I7,NF 1 - I7,37,I7 NÚCLEO,LANÇADO,2649.51
2021,jun,2021-06-02,2021-06-02,2021-06-07,CONTRATO,MARCOS RIBEIRO - CAMERAS,Locação de Cameras,163,I7 NÚCLEO,LANÇADO,2190.1
2021,jun,2021-06-02,2021-06-02,2021-06-14,CONTRATO,HPFS - LOCAÇÃO NOTEBOOKS,Locação de Notebooks,14062021,I7 NÚCLEO,LANÇADO,1857.27
2021,jun,2021-06-02,2021-06-02,2021-06-15,CONTRATO,HPFS - LOCAÇÃO DESKTOP,Locação de Desktops,15062021,I7 NÚCLEO,LANÇADO,15045.05
2021,jun,2021-06-07,2021-06-02,2021-06-12,CONTRATO,VALIDEINFO WEB,Serviços Consulta Web,1550,I7 NÚCLEO,LANÇADO,150.0
2021,jun,2021-06-07,2021-06-02,2021-07-12,CONTRATO,VIRTOS BACKUP,Backup na Nuvem,16781,EQUIPLEX,LANÇADO,390.0
2021,jun,2021-06-02,2021-06-02,2021-07-15,CONTRATO,HPFS - LOCAÇÃO DESKTOP,Locação de Desktops,15072021,I7 NÚCLEO,LANÇADO,15045.05
2021,jun,2021-07-02,2021-06-02,2021-07-14,CONTRATO,HPFS - LOCAÇÃO NOTEBOOKS,Locação de Notebooks,14072021,I7 NÚCLEO,LANÇADO,1857.27
2021,jun,2021-06-07,2021-06-03,2021-07-20,CONTRATO,ALGAR TELECOM - I7,Internet,15665,I7 NÚCLEO,LANÇADO,3931.44
2021,jun,2021-06-07,2021-06-03,2021-06-21,CONTRATO,ALGAR - TRANSPLEX,Internet,86444,TRANSPLEX,LANÇADO,1458.99
2021,jun,2021-06-07,2021-06-03,2021-06-20,CONTRATO,CLARO NET - HT3,Internet HT3,1794962,I7 NÚCLEO,LANÇADO,155.0
